vote_id,date,year,session,wahlperiode,bill_german_title,bill_english_title,topic_category,drucksache,bsb_volume_id,bsb_url,source
96,1931-02-26,1931,33. Sitzung,5.WP,Haushalt Ernährung und Landwirtschaft 1931 – Mißtrauensantrag Stoecker/Torgler,Budget Food and Agriculture 1931 – No-confidence motion,Agricultural Budget / No-confidence,,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB Stenographische Berichte / DWDS D*/reichstag corpus
97,1931-03-03,1931,35. Sitzung,5.WP,Mißtrauensantrag gegen Reichsminister für Ernährung und Landwirtschaft Dr. Schiele,No-confidence motion against Minister of Agriculture Dr. Schiele,Agricultural Policy / No-confidence,Nr. 824,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB Stenographische Berichte / DWDS D*/reichstag corpus
98,1931-03-03,1931,35. Sitzung,5.WP,"Antrag Torgler u. Gen. betreffend Getreidebewirtschaftung, Vermahlung und Brotherstellung","Motion Torgler et al. on grain management, milling and bread production",Grain Market Regulation,Nr. 107,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB Stenographische Berichte / DWDS D*/reichstag corpus
99,1931-03-03,1931,35. Sitzung,5.WP,Entschließung Stoecker/Torgler betreffend Verbilligung von Frischfleisch,Resolution Stoecker/Torgler on reducing price of fresh meat,Meat Price Regulation,Nr. 554,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB Stenographische Berichte / DWDS D*/reichstag corpus
100,1931-03-03,1931,35. Sitzung,5.WP,Gesetzentwurf über die Einfuhr von Gefrierfleisch – Schlußabstimmung,Bill on Import of Frozen Meat – final vote,Meat Import,Nr. 845,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB Stenographische Berichte / DWDS D*/reichstag corpus
101,1931-03-03,1931,35. Sitzung,5.WP,Entschließung betreffend Verbilligung von Frischfleisch – Gesamtabstimmung,Resolution on reducing price of fresh meat – final vote,Meat Price Regulation,Nr. 247,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB Stenographische Berichte / DWDS D*/reichstag corpus
102,1931-03-26,1931,42. Sitzung,5.WP,Getreidepreisgesetz – Schlußabstimmung,Grain Price Law – final vote,Grain Price Regulation,,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB Stenographische Berichte / DWDS D*/reichstag corpus
103,1931-05-07,1931,55. Sitzung,5.WP,Osthilfe – Agrarkredit – Notverordnung – namentliche Abstimmung,Eastern Aid – Agricultural Credit – Emergency Decree – roll call vote,Osthilfe / Rural Credit,,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB Stenographische Berichte / DWDS D*/reichstag corpus
104,1931-06-04,1931,62. Sitzung,5.WP,Antrag DNVP auf Erhöhung der Getreidezölle,DNVP motion for grain tariff increase,Grain Tariff,,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB Stenographische Berichte / DWDS D*/reichstag corpus
105,1931-06-18,1931,68. Sitzung,5.WP,Milchgesetz – Novelle – Schlußabstimmung,Milk Law – Amendment – final vote,Milk / Dairy Regulation,,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB Stenographische Berichte / DWDS D*/reichstag corpus
106,1931-10-15,1931,75. Sitzung,5.WP,Zolltarifnovelle – Agrarpositionen (Erhöhung auf Butterimport),Tariff Amendment – Agricultural positions (butter import increase),Dairy Tariffs,,bsb00000126,https://www.digitale-sammlungen.de/de/view/bsb00000126,BSB Stenographische Berichte / DWDS D*/reichstag corpus
107,1931-11-12,1931,82. Sitzung,5.WP,Antrag auf Aufhebung der Notverordnung betreffend Agrarzölle,Motion for Revocation of Emergency Decree on Agricultural Tariffs,Agricultural Tariffs / Emergency Decree,,bsb00000127,https://www.digitale-sammlungen.de/de/view/bsb00000127,BSB Stenographische Berichte / DWDS D*/reichstag corpus
108,1931-12-03,1931,88. Sitzung,5.WP,Siedlungsgesetz – Fünfte Novelle,Settlement Law – Fifth Amendment,Land Reform / Settlement,,bsb00000127,https://www.digitale-sammlungen.de/de/view/bsb00000127,BSB Stenographische Berichte / DWDS D*/reichstag corpus
