vote_id,date,year,session,wahlperiode,bill_german_title,bill_english_title,topic_category,drucksache,bsb_volume_id,bsb_url,source
42,1925-02-12,1925,15. Sitzung,3.WP,Zolltarifgesetz 1925 – Agrarzölle – Gesamtabstimmung,Customs Tariff Law 1925 – Agricultural tariffs – final vote,Agricultural Tariffs,,bsb00000068,https://www.digitale-sammlungen.de/de/view/bsb00000068,BSB Stenographische Berichte / DWDS D*/reichstag corpus
43,1925-02-26,1925,19. Sitzung,3.WP,Aufwertungsgesetz – Landwirtschaftliche Grundschulden,Revaluation Law – Agricultural land charges,Agricultural Mortgages,,bsb00000068,https://www.digitale-sammlungen.de/de/view/bsb00000068,BSB Stenographische Berichte / DWDS D*/reichstag corpus
44,1925-03-12,1925,24. Sitzung,3.WP,Getreidezollgesetz – Erhöhung auf 5 RM Weizen / 5 RM Roggen,Grain Tariff Law – Increase to 5 RM wheat / 5 RM rye,Grain Tariff,,bsb00000068,https://www.digitale-sammlungen.de/de/view/bsb00000068,BSB Stenographische Berichte / DWDS D*/reichstag corpus
45,1925-04-03,1925,32. Sitzung,3.WP,Fleischbeschaugesetz – Novelle – Einfuhr von Gefrierfleisch,Meat Inspection Law – Amendment – Frozen meat imports,Meat Import,,bsb00000068,https://www.digitale-sammlungen.de/de/view/bsb00000068,BSB Stenographische Berichte / DWDS D*/reichstag corpus
46,1925-05-08,1925,41. Sitzung,3.WP,Siedlungsgesetz – Novelle (dritte Novelle),Settlement Law – Amendment (third amendment),Land Reform / Settlement,,bsb00000068,https://www.digitale-sammlungen.de/de/view/bsb00000068,BSB Stenographische Berichte / DWDS D*/reichstag corpus
47,1925-06-12,1925,52. Sitzung,3.WP,Haushalt Reichsministerium für Ernährung und Landwirtschaft 1925,Budget Ministry of Food and Agriculture 1925,Agricultural Budget,,bsb00000068,https://www.digitale-sammlungen.de/de/view/bsb00000068,BSB Stenographische Berichte / DWDS D*/reichstag corpus
48,1925-06-26,1925,56. Sitzung,3.WP,Antrag auf Aufhebung der Getreidezölle – SPD/KPD,Motion for abolition of grain tariffs – SPD/KPD,Grain Tariff Abolition,,bsb00000068,https://www.digitale-sammlungen.de/de/view/bsb00000068,BSB Stenographische Berichte / DWDS D*/reichstag corpus
49,1925-07-09,1925,61. Sitzung,3.WP,Einfuhrscheingesetz – Getreide,Import Certificate Law – Grain,Grain Trade,,bsb00000071,https://www.digitale-sammlungen.de/de/view/bsb00000071,BSB Stenographische Berichte / DWDS D*/reichstag corpus
50,1925-10-16,1925,78. Sitzung,3.WP,Zolländerungsgesetz – Butter- und Käsezoll,Tariff Amendment – Butter and cheese duties,Dairy Tariffs,,bsb00000086,https://www.digitale-sammlungen.de/de/view/bsb00000086,BSB Stenographische Berichte / DWDS D*/reichstag corpus
51,1925-11-05,1925,82. Sitzung,3.WP,Zuckerrübenpreis-Gesetz,Sugar Beet Price Law,Sugar / Beet,,bsb00000087,https://www.digitale-sammlungen.de/de/view/bsb00000087,BSB Stenographische Berichte / DWDS D*/reichstag corpus
52,1925-11-20,1925,86. Sitzung,3.WP,Branntweinmonopolgesetz – Novelle 1925,Spirits Monopoly Law – 1925 Amendment,Spirits / Distilling,,bsb00000087,https://www.digitale-sammlungen.de/de/view/bsb00000087,BSB Stenographische Berichte / DWDS D*/reichstag corpus
53,1925-12-04,1925,91. Sitzung,3.WP,Hypothekenbankgesetz – Novelle (landwirtschaftl. Hypotheken),Mortgage Bank Law – Amendment (agricultural mortgages),Agricultural Mortgages,,bsb00000088,https://www.digitale-sammlungen.de/de/view/bsb00000088,BSB Stenographische Berichte / DWDS D*/reichstag corpus
