vote_id,date,year,session,wahlperiode,bill_german_title,bill_english_title,topic_category,drucksache,mp_name,mp_party,vote,vote_column,bsb_volume_id,bsb_url,source
1,1919-07-31,1919,51. Sitzung,WNV,Sozialisierungsgesetz – Gesamtabstimmung,Socialisation Law – final vote (incl. agricultural provisions),Land Reform / Socialisation,Nr. 391,Ordnung,Zentrum,Nein,1,bsb00000010,https://www.digitale-sammlungen.de/de/view/bsb00000010,BSB OCR extraction
1,1919-07-31,1919,51. Sitzung,WNV,Sozialisierungsgesetz – Gesamtabstimmung,Socialisation Law – final vote (incl. agricultural provisions),Land Reform / Socialisation,Nr. 391,Kommunen,Zentrum,Ja,1,bsb00000010,https://www.digitale-sammlungen.de/de/view/bsb00000010,BSB OCR extraction
1,1919-07-31,1919,51. Sitzung,WNV,Sozialisierungsgesetz – Gesamtabstimmung,Socialisation Law – final vote (incl. agricultural provisions),Land Reform / Socialisation,Nr. 391,Steuerzahler!,Zentrum,absent,1,bsb00000010,https://www.digitale-sammlungen.de/de/view/bsb00000010,BSB OCR extraction
1,1919-07-31,1919,51. Sitzung,WNV,Sozialisierungsgesetz – Gesamtabstimmung,Socialisation Law – final vote (incl. agricultural provisions),Land Reform / Socialisation,Nr. 391,Zahlung,Zentrum,absent,1,bsb00000010,https://www.digitale-sammlungen.de/de/view/bsb00000010,BSB OCR extraction
1,1919-07-31,1919,51. Sitzung,WNV,Sozialisierungsgesetz – Gesamtabstimmung,Socialisation Law – final vote (incl. agricultural provisions),Land Reform / Socialisation,Nr. 391,Sie,Zentrum,absent,1,bsb00000010,https://www.digitale-sammlungen.de/de/view/bsb00000010,BSB OCR extraction
1,1919-07-31,1919,51. Sitzung,WNV,Sozialisierungsgesetz – Gesamtabstimmung,Socialisation Law – final vote (incl. agricultural provisions),Land Reform / Socialisation,Nr. 391,Rechnungslegung,Zentrum,Ja,1,bsb00000010,https://www.digitale-sammlungen.de/de/view/bsb00000010,BSB OCR extraction
1,1919-07-31,1919,51. Sitzung,WNV,Sozialisierungsgesetz – Gesamtabstimmung,Socialisation Law – final vote (incl. agricultural provisions),Land Reform / Socialisation,Nr. 391,Statistik,Zentrum,Ja,1,bsb00000010,https://www.digitale-sammlungen.de/de/view/bsb00000010,BSB OCR extraction
1,1919-07-31,1919,51. Sitzung,WNV,Sozialisierungsgesetz – Gesamtabstimmung,Socialisation Law – final vote (incl. agricultural provisions),Land Reform / Socialisation,Nr. 391,Krieg,Zentrum,Nein,1,bsb00000010,https://www.digitale-sammlungen.de/de/view/bsb00000010,BSB OCR extraction
1,1919-07-31,1919,51. Sitzung,WNV,Sozialisierungsgesetz – Gesamtabstimmung,Socialisation Law – final vote (incl. agricultural provisions),Land Reform / Socialisation,Nr. 391,Kriegsaufschlag,Zentrum,Ja,1,bsb00000010,https://www.digitale-sammlungen.de/de/view/bsb00000010,BSB OCR extraction
1,1919-07-31,1919,51. Sitzung,WNV,Sozialisierungsgesetz – Gesamtabstimmung,Socialisation Law – final vote (incl. agricultural provisions),Land Reform / Socialisation,Nr. 391,Kriegsaufschlag,Zentrum,Ja,2,bsb00000010,https://www.digitale-sammlungen.de/de/view/bsb00000010,BSB OCR extraction
1,1919-07-31,1919,51. Sitzung,WNV,Sozialisierungsgesetz – Gesamtabstimmung,Socialisation Law – final vote (incl. agricultural provisions),Land Reform / Socialisation,Nr. 391,Frage,Zentrum,Ja,1,bsb00000010,https://www.digitale-sammlungen.de/de/view/bsb00000010,BSB OCR extraction
1,1919-07-31,1919,51. Sitzung,WNV,Sozialisierungsgesetz – Gesamtabstimmung,Socialisation Law – final vote (incl. agricultural provisions),Land Reform / Socialisation,Nr. 391,Rolle,Zentrum,Ja,1,bsb00000010,https://www.digitale-sammlungen.de/de/view/bsb00000010,BSB OCR extraction
1,1919-07-31,1919,51. Sitzung,WNV,Sozialisierungsgesetz – Gesamtabstimmung,Socialisation Law – final vote (incl. agricultural provisions),Land Reform / Socialisation,Nr. 391,Kriegführung,Zentrum,Nein,1,bsb00000010,https://www.digitale-sammlungen.de/de/view/bsb00000010,BSB OCR extraction
1,1919-07-31,1919,51. Sitzung,WNV,Sozialisierungsgesetz – Gesamtabstimmung,Socialisation Law – final vote (incl. agricultural provisions),Land Reform / Socialisation,Nr. 391,Meinung,Zentrum,absent,1,bsb00000010,https://www.digitale-sammlungen.de/de/view/bsb00000010,BSB OCR extraction
