vote_id,date,year,session,wahlperiode,bill_german_title,bill_english_title,topic_category,drucksache,mp_name,mp_party,vote,vote_column,bsb_volume_id,bsb_url,source
96,1931-02-26,1931,33. Sitzung,5.WP,Haushalt Ernährung und Landwirtschaft 1931 – Mißtrauensantrag Stoecker/Torgler,Budget Food and Agriculture 1931 – No-confidence motion,Agricultural Budget / No-confidence,,Reichstag,,absent,1,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB OCR extraction
96,1931-02-26,1931,33. Sitzung,5.WP,Haushalt Ernährung und Landwirtschaft 1931 – Mißtrauensantrag Stoecker/Torgler,Budget Food and Agriculture 1931 – No-confidence motion,Agricultural Budget / No-confidence,,Ich,,Nein,1,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB OCR extraction
96,1931-02-26,1931,33. Sitzung,5.WP,Haushalt Ernährung und Landwirtschaft 1931 – Mißtrauensantrag Stoecker/Torgler,Budget Food and Agriculture 1931 – No-confidence motion,Agricultural Budget / No-confidence,,Deutschen Bauernpartei.) Wir,,Ja,1,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB OCR extraction
96,1931-02-26,1931,33. Sitzung,5.WP,Haushalt Ernährung und Landwirtschaft 1931 – Mißtrauensantrag Stoecker/Torgler,Budget Food and Agriculture 1931 – No-confidence motion,Agricultural Budget / No-confidence,,Hört!,,absent,1,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB OCR extraction
96,1931-02-26,1931,33. Sitzung,5.WP,Haushalt Ernährung und Landwirtschaft 1931 – Mißtrauensantrag Stoecker/Torgler,Budget Food and Agriculture 1931 – No-confidence motion,Agricultural Budget / No-confidence,,Mark,,Nein,1,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB OCR extraction
96,1931-02-26,1931,33. Sitzung,5.WP,Haushalt Ernährung und Landwirtschaft 1931 – Mißtrauensantrag Stoecker/Torgler,Budget Food and Agriculture 1931 – No-confidence motion,Agricultural Budget / No-confidence,,Moskau Pfennig,,Nein,1,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB OCR extraction
96,1931-02-26,1931,33. Sitzung,5.WP,Haushalt Ernährung und Landwirtschaft 1931 – Mißtrauensantrag Stoecker/Torgler,Budget Food and Agriculture 1931 – No-confidence motion,Agricultural Budget / No-confidence,,Pfennig,,absent,1,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB OCR extraction
96,1931-02-26,1931,33. Sitzung,5.WP,Haushalt Ernährung und Landwirtschaft 1931 – Mißtrauensantrag Stoecker/Torgler,Budget Food and Agriculture 1931 – No-confidence motion,Agricultural Budget / No-confidence,,Marken,,absent,1,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB OCR extraction
96,1931-02-26,1931,33. Sitzung,5.WP,Haushalt Ernährung und Landwirtschaft 1931 – Mißtrauensantrag Stoecker/Torgler,Budget Food and Agriculture 1931 – No-confidence motion,Agricultural Budget / No-confidence,,Marken,,Nein,2,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB OCR extraction
96,1931-02-26,1931,33. Sitzung,5.WP,Haushalt Ernährung und Landwirtschaft 1931 – Mißtrauensantrag Stoecker/Torgler,Budget Food and Agriculture 1931 – No-confidence motion,Agricultural Budget / No-confidence,,Pfennig,,Nein,1,bsb00000129,https://www.digitale-sammlungen.de/de/view/bsb00000129,BSB OCR extraction
